College, Tuition, Number of Students
Central Washington University, $4392, 10200
University of Washington, $5985, 25469
Washington State University, $5888, 18432
Western Washington University, $4356, 13000
Evergreen State University, $4590, 4400
Eastern Washington University, $5904, 10000
Peninsula College, $3639, 10120
University of Oregon, $6174, 20394
Portland State University, $5208, 24284
Oregon State University, $5604, 19362
Southern Oregon University, $5233, 5000
Eastern Oregon University, $4500, 3000
Western Oregon University, $5763, 4500
University of Idaho, $4410, 11739
Idaho State University, $4400, 13000
